msg_id,msg_content
16,"Рецепт как попасть в тренды ютуба. Берешь расхайпанную технологию — дипфейки / суперрез / AR / илон маск / биткоин / что-угодно. Добавляешь к этому  добрую светлую ностальгию по 2007му  (главное не вернуть ненароком) когда не было денег, не было проблем, когда мама запрещала гулять допоздна, а у власти еще был Путин. Хорошо перемешиваешь... И вот, несет уже тебя лента ffmpeg на скорости шестьдесят фреймов в секунду, и не понимаешь ты, то ли картинка ласкает твой разбалованный 4К ULTRAHD нетфликс передачами взор, то ли диалог двух маэстро сковал тебя своим гениальным слогом и ненарочным, но таким искренним ""чвякать хуякать""... Это сейчас дети балуются ""мемами"", которые забываются через день, а в 2007 рынок контента был жесток. Или хит, или gtfo.  1.7М просмотров.   Upd: видео удалили, поэтому вот перезалив 8K видео в 360p, прозаично."
23,"Так, вот эту хуйню я встречал часто, и мне есть что сказать. Только конченный дегенерат будет думать что у этого есть какое-то применение.  Вот давайте честно, как часто вам нужно сфоткать что-то под рукой в рандомном качестве, и моментально вставить это в презентацию/сайт/блокнот c локализацией и обрезкой фона? Самое похожее, что я могу представить это когда я хочу кому-то что-то показать, и тогда я просто фоткаю это что-то в мессенджере и отправляю. Все. Одной кнопкой сфоткал, второй кнопкой отправил, без танцев с бубнами. Если это дизайнер, или еще какой креативный хер, он будет использовать контент высокого качества. И даже если он создает этот контент сам, он потратит время чтобы выбрать свет, сделать несколько кадров, и спокойно их скинуть. Никто, блять, никто не вставляет рандомные фотки с обрезанным фоном в определенную локацию на экране. У этого нет юзкейсов. Как говорил Шекспир, весь мир — это цирк, а люди в нем ебаные клоуны.  Говоря про техническую часть, конечно никого AR тут нет, это просто сегментация фона на фото, и передача его с локализацией. Локализация тут представляет наибольший интерес, потому что через камеру нужно определить позицию якоря на экране компьютера (X,Y в координатах экрана) куда картинка будет вставляться. Плюс быстро синхронизировать данные и команды между телефоном и компьютером. В общем, с инженерной точки зрения это интересный проект, а со стороны здравого смысла — это клиника.  ""Finally a practical use for AR"" - The Verge. 10к звезд на гитхабе."
29,"А вот и адекватное применение дипфейкам. Рекламный гигант WPP использовал технологию от компании Synthesia для перевода обучающих видео для своего персонала на разные языки без перезаписи видео. Чуваки делают нормальные реалистичные дипфейки (а не вырвиглазный фейс-свап где мужское лицо клеится на женское тело) с вполне приземленными мотивами, и успешно это продают. Стоит отметить, однако, что это все же не одна end-to-end сеть, а целый набор инструментов, где GAN хоть и играет главную роль,  результаты дополнительно обрабатываются с классическими визуальными эффектами.  Поиграться и визуализировать свой текст можно здесь."
30,Вот как это выглядит:
31,"Репорт от MIT Technology Review рассказывает о том как выглядит AI в самых богатых и самых бедных уголках планеты на примере Персидского Залива и Африки.  Спойлеры: * И там и там не хватает кадров; * Шейхи используют эйай чтобы сметить фокус с нефти на инновации; * Афро-африканцы решают свои насущные проблемы — недостаток еды и лекарств.  Осталось только узнать сколько опрошенных это ""AI стартапы"", а сколько реально используют AI."
32,"AI стартап ScaleFactor оказался совсем не AI. Никогда такого не случалось, и вот опять. Мое мнение простое — если это выглядит как утка и крякает как утка, то это утка. Если клиенты получали выполненную работу в указанные сроки и за указанный ценник, то какая в хуй разница че там у них на бекенде? Обманули инвесторов? Да ладно, инвесторам не важно было как это работает когда они инвестировали, иначе бы они это проверили первым делом. Они инвестировали в красивые метрики роста и прибыли, которые были правдивыми и никуда не делись."
35,Настоящая новость-эксклюзив. Через пару недель в AppStore выйдет мобильная аппка для создания дипфейков основная на first order motion model.  Можете скринить.
43,"Чуваки из Стенфорда достигли нового потолка в 73% в задаче one-shot classification на Kinetics датасете с алгоритмом, который они назвали Ordered Temporal Alignment Module... Да и, господи, хер с ним, с этим алгоритмом, давайте я вам лучше расскажу, что такое one-shot learning.   В обычном сценарии чаще всего используют supervised learning, это когда у тебя есть сто тыщ мильонов аниме картинок, и ты засовываешь их в алгоритм и говоришь, ""вот это — аниме, вон то — тоже аниме, а вон тот крайний случай — как ни странно, тоже аниме"", и сетка так учится. А потом ты берешь картинки с говном, и повторяешь процедуру (на самом деле это происходит одновременно, но суть ясна). По итогу ты можешь взять новую картинку, которой не было в изначальном сете, и уже можешь сам попросить алгоритм различить, аниме это, или говно (говорят, нынешних вычислительных мощностей еще не хватает чтобы решить эту задачу).  А в случае с one-shot learning у тебя нет такого большого количества картинок с известными лейблами, поэтому ты берешь другой, более хитрый алгоритм, засыпаешь в него с горкой кучу рандомных картинок разных классов, и алгоритм их анализирует, и вытаскивает какую-то информацию. Но это еще не все. Магия начинается когда у тебя появляется конкретная задача, например, отличить Пупу от Лупы, и у тебя есть всего по ОДНОМУ примеру как выглядит Пупа, а как Лупа. В случае с таким алгоритмом, тебе достаточно ОДИН раз (откуда и название) показать их алгоритму, и все, при следующей раздаче в бухгалтерии можно не переживать, что Пупа получит за Пупу, а Лупа, ну...  В статье сделали то же самое, только не с картинками, а с видео. Надеюсь понятно."
45,"​Помните я как-то писал про то, что художники с Нового Арбата скоро останутся без работы? Ну так вот, код этой нейронки для карикатур опубликовали, немного поигрался, правда прикольно работает.   Выбираете картинку со стилем которую хотите обработать и любую другую другую фоточку.  Работает не только с лицами – нейронка сопоставляет ""похожесть"" картинки со стилем и фото для обработки, пытаясь найти похожие точки для искривления  Вот тут исходный код, а тут для тех кто умеет в Google Colab."
50,"Прикольное приложение, чтобы сделать сценку из фильма ужасов, когда лицо вылезает из стены. Как в первом сезоне «Очень странных дел».  Внутри ARKit для работы с дополненной реальностью и фейстрекинг с помощью фронтальной камеры.  Бесплатно в App Store. Если начинает вылетать, то выгрузите из памяти и запустите заново. Мы все-таки еще не в будущем."
55,"Тут вот на продактханте запустили аппку которая превращает айфон в умную вебку для видеосвязи. Из МЛ у них в арсенале gesture detection, image enhancement, и low light mode. Мне кажется, идея очень здравая, особенно учитывая непозволительное качество вебки и микрофона в большинстве современных ноутбуков. Я сам ряд собеседований провел с айфона, просто потому, что там объективно лучше и картинка и звук. А так можно совместить прелести двух платформ."
62,"Канал быстро вырос, и я хочу чтобы вы понимали, что вы, как читатели, определяете его контент, и мне важно чтобы то, что я пощу резонировало с тем, что вам хочется читать.  В связи с этим, опрос: Upd: спасибо всем за мнение, буду продолжать в том же духе, и добавлю больше технических штук."
64,"Недавно Google Research представил свой подход для оценки положения глаз и трекинга зрачков. Особенностью их модели является способность отслеживать радужную оболочку, зрачок и контуры глаза с помощью одной RGB-камеры в режиме реального времени без необходимости использования специального оборудования. Eye-tracking это очень крутая технология, которая впредь остается не сильно распространенной из-за этого самого оборудования.  В MediaPipe, к слову, много белорусов, общался с ними как-то на конфе. Попали в гугл через покупку их стартапа. Мое уважение."
68,"Помните Mirror, AI-зеркало-тренер? Похоже у них появился конкурент — Carbon. Аналогичный функционал и такой же ценник — 1.5к. Pose detection, motion tracking, все как надо👌  Но толку от него мало, имхо. Лучше потратить деньги на нормальное снаряжение."
